x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
58.465355,172.75778,592.8147,15.281746,160.37558,596.08014,-14.033215,134.2323,598.686,-29.450487,109.62707,604.15704,-46.490185,88.74709,604.6789,15.421716,85.5693,588.77704,4.05488,46.70909,587.2849,-1.9572265,20.780632,582.9317,-6.2361736,-1.1147351,577.1306,40.51531,80.02781,583.03845,37.163857,36.912666,580.49097,35.944702,8.42925,576.57916,35.640453,-15.506159,572.5872,63.567554,83.919556,578.30634,67.27081,44.007862,573.6043,70.13623,18.002808,570.5956,71.79261,-4.500694,568.13135,85.533936,94.44004,573.9048,98.06523,64.90481,569.38135,104.788864,44.617577,566.8115,108.86535,25.476286,564.48517
59.527607,172.42108,593.5688,15.291438,160.09271,595.9428,-14.303595,134.20009,598.2874,-29.659077,109.61223,603.8341,-47.049305,88.83158,603.94104,15.479473,85.365425,588.8714,3.7634938,46.389153,587.06934,-2.6022737,20.42626,582.4843,-7.2455783,-1.51029,576.583,40.94888,79.82661,583.45026,37.982765,36.377552,581.0865,36.68283,7.586317,577.2339,35.8981,-16.432823,572.8818,64.06858,83.78188,578.5817,67.25349,43.84245,573.38696,69.98819,17.734922,570.5455,71.3799,-4.5931473,567.991,85.88184,94.32441,574.07513,98.06587,64.6942,569.34796,104.73911,44.405098,566.60065,108.758095,25.402105,563.9338
58.03303,172.40764,591.9888,15.348175,160.09288,595.87744,-13.749765,133.90842,598.8858,-29.349476,109.264656,604.0429,-46.360294,88.383965,604.4788,15.534403,85.03619,589.09314,4.222797,45.975937,587.52997,-2.1055856,20.13233,582.9251,-6.7850394,-1.6255962,576.90704,40.509308,79.657196,583.1562,37.802204,36.214024,581.0025,36.939266,7.6561775,577.30273,36.67924,-16.13512,573.26605,63.555107,83.695915,578.13727,68.12864,43.04587,573.8135,72.17533,16.701933,571.8298,74.874115,-6.119354,570.12787,85.33713,94.4609,573.2768,98.008995,64.82716,569.0657,105.01304,44.434807,566.7358,109.035324,25.234236,564.16864
59.243404,172.748,592.8914,15.481946,160.4421,595.87885,-14.547632,134.07906,598.1566,-30.376118,109.39464,603.19653,-47.511795,88.748184,603.62146,15.500832,85.39845,589.1194,3.7557843,46.245136,587.1631,-2.8143635,20.389912,582.40356,-7.685365,-1.4387304,576.31323,40.754425,79.937294,583.42737,37.80257,36.45398,580.948,36.247566,7.8393846,576.8353,35.21557,-15.961032,572.21924,63.97606,83.93296,578.5298,66.79261,43.912083,573.1722,69.0094,17.850227,569.91364,70.14576,-4.5006995,567.1015,85.964386,94.576706,573.98376,97.67042,64.817,569.0525,104.06817,44.509445,566.1964,107.85737,25.484688,563.437
58.795616,172.6403,592.90625,14.883348,160.3151,595.52765,-14.903177,133.97429,597.855,-30.457722,109.42351,603.05835,-47.503143,88.720566,603.5944,15.524265,85.36149,589.0719,3.5852804,46.154247,587.03613,-2.5414524,19.97944,582.57153,-7.0214233,-1.9823989,576.6834,40.797306,79.937096,583.44666,37.301907,36.46342,580.6221,35.543785,7.8623285,576.32007,34.33263,-15.9641695,571.63446,63.963,83.94521,578.6399,67.20143,43.66759,573.3709,69.6238,17.456484,570.26025,70.79202,-5.1013184,567.52185,85.77281,94.64331,574.04285,97.78687,64.968796,569.07544,104.135864,44.664505,566.0909,107.65739,25.604593,563.1166
58.313774,172.36642,592.45966,14.874217,160.01561,595.5094,-14.599026,133.90265,598.0911,-30.277689,109.44888,603.2379,-46.89817,88.72432,604.1956,15.702931,85.23034,589.14954,3.7328067,46.425793,587.08264,-3.0136607,20.853027,582.11536,-8.18231,-0.74594337,575.77637,40.963478,79.74641,583.46185,38.311535,36.4408,581.2656,36.600502,7.9325476,577.1067,35.296272,-15.747124,572.41736,64.00173,83.71714,578.44855,67.08747,43.78584,573.172,69.27246,17.927448,569.9476,70.17523,-4.195876,567.1095,85.834305,94.389465,573.79474,98.31873,64.71371,569.3188,104.73721,44.41895,566.4745,108.2365,25.440283,563.62964
58.856247,172.4572,592.84174,14.704078,160.03838,595.39154,-14.7382765,133.89592,598.01953,-30.21786,109.26128,603.436,-47.327915,88.358475,603.9486,15.552607,85.449486,588.80914,3.5223641,46.30546,586.8775,-3.0754614,20.538336,582.0933,-7.89488,-1.250042,576.02484,41.09152,79.87486,583.4176,38.24432,36.30321,581.1866,36.434517,7.695759,576.9986,35.150055,-16.118206,572.4102,64.23966,83.806946,578.6129,67.034935,43.49046,573.1031,69.0897,17.458946,569.8223,70.07463,-4.8603806,567.1,86.085236,94.44926,574.0461,98.03944,64.82805,569.2007,104.45318,44.446857,566.34924,108.19591,25.252127,563.64276
58.68588,172.65987,592.81006,14.671139,160.15703,595.6084,-14.883082,134.0267,598.03174,-30.318462,109.447495,603.39575,-47.036865,88.45218,604.2208,15.684197,85.39928,589.1191,3.7112641,46.362717,587.04987,-2.8592668,20.493599,582.1556,-7.7384953,-1.2992996,575.81494,40.98534,79.909164,583.5154,38.063557,36.411602,581.147,36.569313,7.7379565,576.9134,35.648216,-16.121487,572.3159,63.957054,83.88714,578.6167,67.07105,43.60849,573.43365,69.46043,17.455666,570.1388,70.713745,-5.05739,567.36957,85.64612,94.58074,573.9325,97.91924,64.92652,569.24365,104.431435,44.511326,566.46765,108.18656,25.296068,563.805
58.793816,173.06274,593.0597,14.957616,160.37971,595.7466,-14.407042,134.1549,598.26056,-29.811108,109.445946,603.716,-46.428288,88.36339,604.72076,15.539866,85.45145,588.91345,3.4369063,46.51593,586.6444,-3.3912911,20.847729,581.49384,-8.483071,-0.90168977,574.97284,41.044254,79.85033,583.3903,38.59599,36.143898,581.4761,36.91057,7.395345,577.06866,35.553127,-16.483824,572.12775,64.04428,83.8333,578.46716,67.48914,43.48794,573.55817,69.9741,17.17906,570.30304,71.151405,-5.417237,567.521,85.63648,94.58794,573.6841,98.159096,64.96821,569.21436,105.07609,44.608433,566.81903,109.09953,25.472612,564.5324
58.534157,172.81023,592.41833,14.439153,160.59123,595.4609,-14.870009,134.8483,598.1815,-30.649996,110.2002,603.20953,-47.76051,88.94519,603.53827,14.901887,85.95113,588.4899,3.9096441,46.44113,587.3799,-2.1315231,20.327,583.0799,-6.537867,-1.7061856,577.06665,40.446873,80.45974,582.95123,37.312965,36.93623,580.7761,35.360134,7.9519877,576.3773,33.95867,-16.240814,571.55334,63.660606,84.36134,578.2333,67.15361,43.88859,573.55005,70.09506,17.47782,570.7093,71.91515,-5.3414335,568.2202,85.39687,94.78689,573.4261,97.44655,65.14256,568.9558,104.04105,44.768993,566.47205,108.0331,25.543009,563.8843
